"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (B)","Total Archive Storage (B)","Local Storage Growth (B/day)","Archive Storage Growth (B/day)"
"All","Linux Fileset","\\10.216.53.23\JUD-Misc","Remote","NL Two Weeks NAS","2018-03-29 10:31:49","299467820831.0","0.0","1083987.0","0.0"
"All","Linux Fileset","\\10.216.53.23\JUD-Shared folders","Remote","NL Two Weeks NAS","2018-03-29 11:09:14","200671540219.0","0.0","-9632924216.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACCD","Remote","NL Two Weeks NAS","2018-01-15 12:25:40","5659810725832.0","0.0","2983686885.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACD","Remote","NL Two Weeks NAS","2018-01-15 12:11:13","296725118588.0","0.0","-252885714.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ADM","Remote","NL Two Weeks NAS","2018-01-15 12:14:54","28550783978.0","0.0","7318856.0","0.0"
"All","Linux Fileset","\\10.244.1.146\AGR","Remote","NL Two Weeks NAS","2018-01-15 12:15:19","2356234279259.0","0.0","2628224560.0","0.0"
"All","Linux Fileset","\\10.244.1.146\AUD","Remote","NL Two Weeks NAS","2018-01-15 12:12:59","155885009716.0","0.0","419840556.0","0.0"
"All","Linux Fileset","\\10.244.1.146\BGS","Remote","NL Two Weeks NAS","2018-01-15 12:11:31","4171015354621.0","0.0","1393905186.0","0.0"
"All","Linux Fileset","\\10.244.1.146\DHR","Remote","NL Two Weeks NAS","2018-01-15 12:12:13","2083096109915.0","0.0","1503756784.0","0.0"
"All","Linux Fileset","\\10.244.1.146\DII","Remote","NL Two Weeks NAS","2018-01-15 12:14:20","1202569946826.0","0.0","1595927589.0","0.0"
"All","Linux Fileset","\\10.244.1.146\EXE","Remote","NL Two Weeks NAS","2018-01-15 12:13:27","32290192304.0","0.0","1369896.0","0.0"
"All","Linux Fileset","\\10.244.1.146\FIN","Remote","NL Two Weeks NAS","2018-01-15 12:13:50","249661893798.0","0.0","152922364.0","0.0"
"All","Linux Fileset","\\10.244.1.146\FSD","Remote","NL Two Weeks NAS","2018-01-15 12:12:35","41289973236.0","0.0","-23047343.0","0.0"
"All","Linux Fileset","\\10.244.1.146\GMCB","Remote","NL Two Weeks NAS","2018-01-15 12:11:49","288125914940.0","0.0","115299657.0","0.0"
"All","Linux Fileset","\\10.244.1.146\HRC","Remote","NL Two Weeks NAS","2018-01-15 12:10:53","163465950494.0","0.0","509451710.0","0.0"
"All","Linux Fileset","\\10.244.1.146\LIB","Remote","NL Two Weeks NAS","2018-01-17 08:22:51","277398028421.0","0.0","221183818.0","0.0"
"All","Linux Fileset","\\10.244.1.146\LRB","Remote","NL Two Weeks NAS","2018-01-17 08:23:29","1303373969.0","0.0","363579.0","0.0"
"All","Linux Fileset","\\10.244.1.146\LTG","Remote","NL Two Weeks NAS","2018-01-17 08:24:13","3879325152.0","0.0","153190.0","0.0"
"All","Linux Fileset","\\10.244.1.146\MIL","Remote","NL Two Weeks NAS","2018-01-17 08:25:09","218494394809.0","0.0","67289558.0","0.0"
"All","Linux Fileset","\\10.244.1.146\PSB","Remote","NL Two Weeks NAS","2018-01-17 08:25:57","241805338085.0","0.0","-298817443.0","0.0"
"All","Linux Fileset","\\10.244.1.146\PSD","Remote","NL Two Weeks NAS","2018-01-17 08:26:35","1227383586274.0","0.0","625896985.0","0.0"
"All","Linux Fileset","\\10.244.1.146\RM","Remote","NL Two Weeks NAS","2018-01-17 08:27:30","71011475252.0","0.0","3825879.0","0.0"
"All","Linux Fileset","\\10.244.1.146\SAS","Remote","NL Two Weeks NAS","2018-01-23 14:17:31","16141783745121.0","0.0","13551256957.0","0.0"
"All","Linux Fileset","\\10.244.1.146\TSProfiles$","Remote","NL Two Weeks NAS","2018-01-23 13:21:25","43334239690.0","0.0","48578993.0","0.0"
"All","Linux Fileset","\\10.244.1.146\VCGI","Remote","NL Two Weeks NAS","2018-03-20 12:21:39","14310860210695.0","0.0","-35449391678.0","0.0"
