Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
ABDEVAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,90.11,10.11,99.33,148.57,8/17/2018 9:12,13,0,0,0
ABDEVAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,90.11,10.11,99.33,148.57,8/17/2018 9:12,13,0,0,0
ABPRDAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,76.35,4.23,98.28,58.13,11/15/2017 11:23,22.2,0,-3.1,0
ABPRDAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,76.35,4.23,98.28,58.13,11/15/2017 11:23,22.2,0,-3.1,0
ABPRDWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,ERP,56.51,2.3,95.72,23.37,11/15/2017 11:23,32.2,0,-5.4,0
ABPRDWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,56.51,2.3,95.72,23.37,11/15/2017 11:23,32.2,0,-5.4,0
ADS-Solar-Flow,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,93.66,15.77,99.48,192,11/6/2017 7:48,66.8,0,-182.1,0
ADS-Solar-Flow,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,93.66,15.77,99.48,192,11/6/2017 7:48,66.8,0,-182.1,0
ADS-Solar-Flow,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,93.66,15.77,99.48,192,11/6/2017 7:48,66.8,0,-182.1,0
ADS-Solar-SQL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Weekly large Snapshots,Dave Fortin,83.16,5.94,88.22,8.49,1/26/2018 9:52,183.4,0,1092.9,0
ADS-Solar-SQL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Weekly large Snapshots,DII - EAS,83.16,5.94,88.22,8.49,1/26/2018 9:52,183.4,0,1092.9,0
ADS-Solar-SQL,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Weekly large Snapshots,Global,83.16,5.94,88.22,8.49,1/26/2018 9:52,183.4,0,1092.9,0
ADS-SolarWinds,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,57.48,2.35,95.18,20.75,11/6/2017 7:48,108.7,0,103.5,0
ADS-SolarWinds,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,DII - EAS,57.48,2.35,95.18,20.75,11/6/2017 7:48,108.7,0,103.5,0
ADS-SolarWinds,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,57.48,2.35,95.18,20.75,11/6/2017 7:48,108.7,0,103.5,0
AHS-CTX08LICDB,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,64.3,2.8,96.4,27.77,12/26/2017 15:37,27.1,0,21,0
AHS-CTX08LICDB,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,64.3,2.8,96.4,27.77,12/26/2017 15:37,27.1,0,21,0
AHS-CTXProfiler,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,64.42,2.81,96.64,29.78,12/26/2017 15:37,20.2,0,54.1,0
AHS-CTXProfiler,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,64.42,2.81,96.64,29.78,12/26/2017 15:37,20.2,0,54.1,0
