Object Name,Object Type,Location,Cluster Location,SLA Domain,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
302-sharebackup,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Remote,TV Two Weeks,8/24/2018 14:55,161.6,0,6.7,0
ABDEVAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Remote,TV Two Weeks,8/28/2018 12:44,26.9,0,-5.5,0
ABDEVAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,8/17/2018 9:12,13,0,0,0
ABDEVAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
ABDRAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ABDRAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,TV Two Weeks,10/23/2017 7:46,16.2,0,0,0
ABDRWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,,0,0,0,0
ABDRWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,TV Two Weeks,10/23/2017 7:46,5.3,0,-0.9,0
ABPRDAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,11/15/2017 11:23,22.2,0,-3.1,0
ABPRDAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
ABPRDWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,11/15/2017 11:23,32.2,0,-5.4,0
ABPRDWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
ACCD-CDS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Remote,TV Two Weeks,9/24/2018 4:48,52.7,0,402.6,0
ACCD-CDS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,12/21/2017 10:50,40.4,0,-350.9,0
ACCD-CDS-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
ACCD-CMS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Remote,TV Two Weeks,9/24/2018 4:48,39.2,0,232.7,0
ACCD-CMS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,Unprotected,12/21/2017 10:50,34.7,0,-363.5,0
ACCD-CMS-PFS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Remote,Unprotected,,0,0,0,0
ACCD-CVT-PROD,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Remote,TV Two Weeks,9/24/2018 4:48,18.1,0,198.7,0
