Month,Cluster Location,Organization,Logical Data Protected (GB),Data Reduction (%),Logical Data Reduction (%),Total Local Storage (GB),Total Replica Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Replica Storage Growth (MB/day),Archive Storage Growth (MB/day)
2018-03,Local,DII - EAS,132113.6,71.76,96.68,4391.7,4484.4,0,-52903.7,-4758.9,0
2018-07,Local,DII - EAS,134642.2,71.9,96.62,4553.9,5026.7,0,-76868.8,75899.5,0
2018-06,Local,DII - EAS,136811.2,71.59,96.62,4630.8,4950.8,0,-290515.7,-53840.6,0
2018-09,Local,DII - EAS,150909.4,74.88,96.93,4638.7,4797.9,0,-7862.4,-167567.9,0
2018-08,Local,DII - EAS,143124.8,73.18,96.75,4646.5,4965.5,0,92603.4,-61160.8,0
2018-10,Local,DII - EAS,154925.2,74.05,96.86,4871.6,4979.5,0,232966.8,181561,0
2018-04,Local,DII - EAS,133788.6,72.98,96.34,4892.2,4763,0,500512.4,278601.8,0
2018-05,Local,DII - EAS,132553.8,72.08,96.29,4921.3,5004.6,0,29072.7,241556.8,0
2018-03,Local,ERP,176984.9,60.02,96.57,6077.4,6014.4,0,72853.5,130116.5,0
2018-04,Local,ERP,160411.7,59,96.09,6278.2,6369.8,0,200806.5,355353.9,0
2018-10,Local,ERP,174810.5,60.51,96.35,6373.8,6327.1,0,-103597.4,-78172.3,0
2018-05,Local,ERP,159847.9,59.05,95.97,6439.6,6386.4,0,161439,16610.6,0
2018-07,Local,ERP,173511.3,60.61,96.28,6459.5,6574.3,0,-178263.1,112615.2,0
2018-09,Local,ERP,181006,60.15,96.42,6477.4,6405.3,0,-279858.1,-355493,0
2018-06,Local,ERP,170671.3,58.55,96.11,6637.7,6461.6,0,198109.3,75250.4,0
2018-08,Local,ERP,173871,60.09,96.11,6757.2,6760.8,0,250628.3,186495.3,0
2018-03,Local,ANR,374830.4,38.44,95.71,16085.8,15843.6,0,151633.9,233631.4,0
2018-06,Local,ANR,333525.7,34,94.81,17326.7,16997.2,0,-1083780.1,48439.6,0
2018-04,Local,ANR,386665.2,36.59,95.47,17505.6,16348.1,0,1419825,504476,0
2018-07,Local,ANR,336929.4,34.68,94.73,17753.6,17460.8,0,426983,463556,0
2018-08,Local,ANR,335324.2,35.44,94.61,18085.4,17698.3,0,331773.5,237496.5,0
2018-05,Local,ANR,499203,35.31,96.31,18410.4,16948.8,0,904847.7,600665.6,0
2018-03,Remote,Global,301100.9,41.91,93.7,18967.3,0,0,-555832.8,0,0
2018-09,Local,ANR,298195.3,56.8,93.35,19844.4,18294.9,0,1758985.2,596639,0
2018-04,Remote,Global,486904.2,45.94,95.77,20598.1,0,0,1630765.4,0,0
2018-06,Remote,Global,617556.2,56.64,96.48,21749.1,0,0,-239705.5,0,0
2018-05,Remote,Global,516512.9,46.18,95.74,21988.8,0,0,1390763.8,0,0
2018-10,Local,ANR,278222.6,39.64,88.92,30838,28790.6,0,10993635.4,10495670.4,0
2018-09,Local,Dave Fortin,786804.6,64.43,95.69,33933,32405.5,0,-1036644.4,-6232562.4,0
2018-08,Local,Dave Fortin,986115,59.8,96.45,34969.7,38638,0,-63440.5,-2540537.6,0
2018-07,Local,Dave Fortin,1006427.8,59.83,96.52,35033.1,41178.6,0,-4657618.3,1261778.1,0
2018-03,Local,Dave Fortin,1025678.1,52.86,96.35,37471.8,37554.5,0,463818.1,644963.3,0
2018-04,Local,Dave Fortin,1003468.2,53.29,96.08,39339.6,38289.3,0,1867753.9,734721,0
2018-06,Local,Dave Fortin,982213.7,52.62,95.96,39690.7,39916.8,0,-896448.2,423850.1,0
2018-05,Local,Dave Fortin,1108068.5,52.1,96.34,40587.2,39492.9,0,1247605.6,1203680.7,0
2018-07,Remote,Global,1011153.4,48.8,95.64,44052.6,0,0,22294326.8,0,0
2018-10,Local,Dave Fortin,756267.9,54.93,94.07,44832.8,42634.5,0,10899794.2,10229066.6,0
2018-08,Remote,Global,1670655.6,54.08,96.16,64099.5,0,0,19900570.6,0,0
2018-09,Remote,Global,2097157.5,56.54,96.49,73676.5,0,0,9447614.6,0,0
2018-10,Remote,Global,2027777.9,54.76,96.28,75338.2,0,0,1464053.9,0,0
2018-09,Local,Global,2647676.6,50.87,95.42,121182.5,119066.8,0,-12595378.1,-21375197.2,0
2018-03,Local,Global,3442427.9,49.58,96.12,133715.6,131286.6,0,22064155.5,21706381.5,0
2018-08,Local,Global,3828558.8,56.05,96.51,133777.9,140442,0,-2206087.3,-3044511.7,0
2018-10,Local,Global,2845805.4,47.19,95.27,134580.5,130284.3,0,13397922.5,11217533.2,0
2018-07,Local,Global,3776400.2,54.9,96.4,135842.2,143486.5,0,-8743035.8,202305.2,0
2018-04,Local,Global,3552059.4,49.58,96.09,138722.3,134470.3,0,5006708.4,3183701,0
2018-05,Local,Global,3659352.4,49.29,96.12,142091.5,137883.7,0,3369135.2,3413473.4,0
2018-06,Local,Global,3717472.2,49.64,96.11,144585.3,143284.2,0,2493805.2,5400422,0
