Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
302-sharebackup,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,EDU,36.06,1.56,95.64,22.92,8/24/2018 14:29,161.6,0,6.3,0
302-sharebackup,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,36.06,1.56,95.64,22.92,8/24/2018 14:29,161.6,0,6.3,0
ABDEVAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ERP,80.01,5,98.61,71.86,8/28/2018 12:25,26.9,0,-5.5,0
ABDEVAPP01,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,80.01,5,98.61,71.86,8/28/2018 12:25,26.9,0,-5.5,0
ABDRAPP01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,82.14,5.6,98.74,79.64,10/23/2017 7:41,16.2,0,0,0
ABDRWEB01,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,90.65,10.69,99.3,142.31,10/23/2017 7:41,5.3,0,-0.9,0
ACCD-CDS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ACCD,53.12,2.13,95.62,22.82,9/24/2018 4:21,52.7,0,402.6,0
ACCD-CDS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,53.12,2.13,95.62,22.82,9/24/2018 4:21,52.7,0,402.6,0
ACCD-CMS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ACCD,62.08,2.64,94.18,17.19,9/24/2018 4:21,75,0,1307,0
ACCD-CMS,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,62.08,2.64,94.18,17.19,9/24/2018 4:21,75,0,1307,0
ACCD-CVT-PROD,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ACCD,81.71,5.47,98.55,68.91,9/24/2018 4:21,18.7,0,215.3,0
ACCD-CVT-PROD,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,Global,81.71,5.47,98.55,68.91,9/24/2018 4:21,18.7,0,215.3,0
ACCD-CVT-QA,vSphere VM,eagptvvc01.ea.dii.state.vt.us,Local,TV Two Weeks,ACCD,79.53,4.89,98.39,62,9/24/2018 4:21,20.8,0,228.3,0
