"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"EAG-pfSense-ADS01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","99.91","1083.61","99.97","3250.83","2018-10-25 13:12:43","0.0","0.0","5.0","0.0"
"EAG-pfSense-ADS01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","99.91","1083.61","99.97","3250.83","2018-10-25 13:12:43","0.0","0.0","5.0","0.0"
"EAG-pfSense-ADS-NL01-old","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","99.87","778.12","99.96","2332.31","2018-10-23 16:26:11","0.0","0.0","4.6","0.0"
"EAG-pfSense-ADS-NL01-old","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","99.87","778.12","99.96","2332.31","2018-10-23 16:26:11","0.0","0.0","4.6","0.0"
"EAG-pfSense-ADS-NL02","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","97.63","42.26","99.21","126.66","2018-10-24 13:04:18","0.5","0.0","101.7","0.0"
"EAG-pfSense-ADS-NL02","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","97.63","42.26","99.21","126.66","2018-10-24 13:04:18","0.5","0.0","101.7","0.0"
"EAG-pfSense-Test","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","93.01","14.30","99.52","208.49","2018-06-18 13:57:05","0.6","0.0","0.0","0.0"
"EAG-pfSense-Test","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","93.01","14.30","99.52","208.49","2018-06-18 13:57:05","0.6","0.0","0.0","0.0"
"eagmutlppath02","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","93.92","16.44","99.59","246.56","2017-10-06 15:16:15","0.7","0.0","-0.0","0.0"
"EAG- pfSense-BFIS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","92.44","13.22","99.48","191.33","2017-12-06 16:25:40","0.7","0.0","-0.0","0.0"
"EAG- pfSense-BFIS","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","92.44","13.22","99.48","191.33","2017-12-06 16:25:40","0.7","0.0","-0.0","0.0"
"ph-CentOS7-firebrand","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","98.05","51.39","99.87","752.96","2017-10-06 14:37:32","1.1","0.0","0.1","0.0"
"ph-CentOS7-firebrand","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","98.05","51.39","99.87","752.96","2017-10-06 14:37:32","1.1","0.0","0.1","0.0"
"eagmesrsve01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","99.88","823.12","99.88","823.12","2017-10-09 13:05:21","1.3","0.0","0.0","0.0"
"All","NAS Fileset","\\10.244.1.146\LRB","Local","NL Two Weeks NAS","Global","63.39","2.73","98.65","74.30","2018-01-17 09:23:29","1.3","0.0","0.7","0.0"
"FMSBX4WEB01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","97.28","36.81","99.79","478.40","2017-10-24 08:28:54","1.7","0.0","1.0","0.0"
"FMSBX4WEB01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","97.28","36.81","99.79","478.40","2017-10-24 08:28:54","1.7","0.0","1.0","0.0"
"AzureLinuxtest01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","98.72","77.85","99.91","1167.73","2018-04-10 16:47:29","1.7","0.0","0.0","0.0"
"AzureLinuxtest01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","98.72","77.85","99.91","1167.73","2018-04-10 16:47:29","1.7","0.0","0.0","0.0"
"eagpproxy01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","91.53","11.80","99.42","171.17","2017-10-09 07:58:04","1.9","0.0","0.0","0.0"
"eagpproxy01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","91.53","11.80","99.42","171.17","2017-10-09 07:58:04","1.9","0.0","0.0","0.0"
