"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","10.80.4.111","Local","Testing client","2017-11-14 13:53:35","3.0","0.0","0.0","0.0"
"All","NAS Fileset","\\10.244.1.146\ACCD","Local","NL Two Weeks NAS","2018-01-15 13:25:40","5436.4","0.0","1873.6","0.0"
"All","NAS Fileset","\\10.244.1.146\ACD","Local","NL Two Weeks NAS","2018-01-15 13:11:13","300.1","0.0","215.6","0.0"
"All","NAS Fileset","\\10.244.1.146\ADM","Local","NL Two Weeks NAS","2018-01-15 13:14:54","27.9","0.0","5.1","0.0"
"All","NAS Fileset","\\10.244.1.146\AGR","Local","NL Two Weeks NAS","2018-01-15 13:15:19","2116.7","0.0","3871.0","0.0"
"All","NAS Fileset","\\10.244.1.146\AUD","Local","NL Two Weeks NAS","2018-01-15 13:12:59","137.2","0.0","149.6","0.0"
"All","NAS Fileset","\\10.244.1.146\BGS","Local","NL Two Weeks NAS","2018-01-15 13:11:31","4043.2","0.0","-1975.5","0.0"
"All","NAS Fileset","\\10.244.1.146\DHR","Local","NL Two Weeks NAS","2018-01-15 13:12:13","2027.5","0.0","4084.2","0.0"
"All","NAS Fileset","\\10.244.1.146\DII","Local","NL Two Weeks NAS","2018-01-15 13:14:20","1155.4","0.0","619.3","0.0"
"All","NAS Fileset","\\10.244.1.146\EXE","Local","NL Two Weeks NAS","2018-01-15 13:13:27","32.7","0.0","4.4","0.0"
"All","NAS Fileset","\\10.244.1.146\FIN","Local","NL Two Weeks NAS","2018-01-15 13:13:50","241.0","0.0","97.9","0.0"
"All","NAS Fileset","\\10.244.1.146\FSD","Local","NL Two Weeks NAS","2018-01-15 13:12:35","38.3","0.0","88.6","0.0"
"All","NAS Fileset","\\10.244.1.146\GMCB","Local","NL Two Weeks NAS","2018-01-15 13:11:49","280.1","0.0","-129.4","0.0"
"All","NAS Fileset","\\10.244.1.146\HRC","Local","NL Two Weeks NAS","2018-01-15 13:10:53","143.2","0.0","76.0","0.0"
"All","NAS Fileset","\\10.244.1.146\LIB","Local","NL Two Weeks NAS","2018-01-17 09:22:51","258.3","0.0","508.6","0.0"
"All","NAS Fileset","\\10.244.1.146\LRB","Local","NL Two Weeks NAS","2018-01-17 09:23:29","1.3","0.0","0.7","0.0"
"All","NAS Fileset","\\10.244.1.146\LTG","Local","NL Two Weeks NAS","2018-01-17 09:24:13","3.9","0.0","0.3","0.0"
"All","NAS Fileset","\\10.244.1.146\MIL","Local","NL Two Weeks NAS","2018-01-17 09:25:09","214.6","0.0","30.0","0.0"
"All","NAS Fileset","\\10.244.1.146\PSB","Local","NL Two Weeks NAS","2018-01-17 09:25:57","249.6","0.0","146.7","0.0"
"All","NAS Fileset","\\10.244.1.146\PSD","Local","NL Two Weeks NAS","2018-01-17 09:26:35","1205.9","0.0","390.9","0.0"
"All","NAS Fileset","\\10.244.1.146\RM","Local","NL Two Weeks NAS","2018-01-17 09:27:30","89.4","0.0","602.8","0.0"
"All","NAS Fileset","\\10.244.1.146\SAS","Local","NL Two Weeks NAS","2018-01-23 15:17:31","14247.1","0.0","7684.5","0.0"
"All","NAS Fileset","\\10.244.1.146\TSProfiles$","Local","NL Two Weeks NAS","2018-01-23 14:21:25","42.1","0.0","37.5","0.0"
"All","NAS Fileset","\\10.244.1.146\VCGI","Local","NL Two Weeks NAS","2018-03-20 12:21:39","12321.9","0.0","12986.0","0.0"
"All","NAS Fileset","\\10.244.1.146\VCJTC","Local","NL Two Weeks NAS","2018-01-21 14:46:17","702.7","0.0","141.1","0.0"
"All","NAS Fileset","\\10.244.1.146\VCW","Local","NL Two Weeks NAS","2018-01-21 14:47:14","52.2","0.0","6.4","0.0"
"All","NAS Fileset","\\10.244.1.146\VLC","Local","NL Two Weeks NAS","2018-01-21 14:47:56","92.0","0.0","152.6","0.0"
"All","NAS Fileset","\\10.244.1.146\VRB","Local","NL Two Weeks NAS","2018-01-21 14:49:23","2.7","0.0","4.8","0.0"
"All","NAS Fileset","\\10.244.1.146\VVH","Local","NL Two Weeks NAS","2018-01-23 10:02:22","605.3","0.0","175.8","0.0"
"All","NAS Fileset","\\10.244.1.146\WC","Local","NL Two Weeks NAS","2018-01-23 10:02:45","25.0","0.0","1.4","0.0"
