"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"EAG-PFSENSE-ANR01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","99.30","142.42","99.95","2110.91","2018-09-04 14:08:10","0.2","0.0","0.1","0.0"
"EAG-PFSENSE-ACCD02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","98.92","92.36","99.93","1383.40","2018-09-17 13:25:15","0.2","0.0","0.5","0.0"
"EAG-PFSENSE-ACCD01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","98.88","89.09","99.92","1333.18","2018-09-13 14:48:48","0.2","0.0","-0.4","0.0"
"EAG-PFSENSE-JUD-DR02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","98.85","87.11","99.92","1293.80","2018-08-15 18:33:07","0.2","0.0","0.1","0.0"
"EAG-PFSENSE-JUD-DR01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","98.71","77.33","99.91","1144.80","2018-08-15 15:38:03","0.3","0.0","0.1","0.0"
"EAG-pfSense-CE-PH01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","96.03","25.19","99.71","344.19","2018-07-16 11:43:31","0.3","0.0","-0.1","0.0"
"EAG-PFSENSE-DOL02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","95.81","23.84","99.71","347.29","2018-07-26 13:12:56","0.4","0.0","0.1","0.0"
"EAG-PFSENSE-JUD02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","95.77","23.66","99.71","343.89","2018-07-17 13:46:44","0.4","0.0","0.1","0.0"
"ERP-DBFMPRD01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ERP","99.63","272.52","99.97","3270.29","2018-10-17 16:15:23","0.4","0.0","30.0","0.0"
"ERP-DBFMPRD01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","99.63","272.52","99.97","3270.29","2018-10-17 16:15:23","0.4","0.0","30.0","0.0"
