Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,Managed By
ADS-CTODEV,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,36.25  GB,eagpvxnode04.ea.dii.state.vt.us,
ADS-CTODevCentOS7,Powered Off,2,8192,CentOS 4/5/6/7 (64-bit),Normal,58.15  GB,50  GB,eagpvxnode01.ea.dii.state.vt.us,
ADS-CTOSQL,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,74.18  GB,43.25  GB,eagpvxnode14.ea.dii.state.vt.us,
AGO-Crusher,Powered Off,1,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,414.18  GB,369.04  GB,eagpvxnode01.ea.dii.state.vt.us,
AGO-Kirk,Powered On,4,12288,Microsoft Windows Server 2012 (64-bit),Normal,112.18  GB,46.69  GB,eagpvxnode02.ea.dii.state.vt.us,
AGO-Pike,Powered On,2,4096,Microsoft Windows Server 2012 (64-bit),Normal,204.18  GB,204.18  GB,eagpvxnode03.ea.dii.state.vt.us,
AGO-R2D2,Powered On,1,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,54.18  GB,53.86  GB,eagpvxnode04.ea.dii.state.vt.us,
AGO-Scotty,Powered On,4,12288,Microsoft Windows Server 2008 R2 (64-bit),Normal,112.18  GB,42.49  GB,eagpvxnode05.ea.dii.state.vt.us,
AGO-Troy,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,6.29  TB,6.26  TB,eagpvxnode06.ea.dii.state.vt.us,
AGO-Voyager,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,154.18  GB,128.26  GB,eagpvxnode07.ea.dii.state.vt.us,
AGR-DBProd2008,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,142.18  GB,61.84  GB,eagpvxnode03.ea.dii.state.vt.us,
AGR-DBProd2012,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,369.18  GB,366.74  GB,eagpvxnode04.ea.dii.state.vt.us,
AGR-DBTest2008,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,144.18  GB,144.18  GB,eagpvxnode10.ea.dii.state.vt.us,
AGR-DBTest2012,Powered On,2,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,143.18  GB,143.18  GB,eagpvxnode11.ea.dii.state.vt.us,
AGR-IFProd2008,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,102.18  GB,102.18  GB,eagpvxnode05.ea.dii.state.vt.us,
