Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,DNS Name,Managed By
ANR-Jupiter-Old,Powered On,2,6144,Microsoft Windows Server 2012 (64-bit),Normal,12.83  TB,12.83  TB,eagpvxnode01.ea.dii.state.vt.us,JupiterOld,
AGO-Troy,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,6.29  TB,6.26  TB,eagpvxnode06.ea.dii.state.vt.us,AGO-TROY.vsms.state.vt.us,
VCGIPRDAPP01,Powered On,5,36864,Microsoft Windows Server 2008 R2 (64-bit),Normal,10.48  TB,5.27  TB,eagpvxnode04.ea.dii.state.vt.us,VCGIPRDAPP01,
ERP-PSRECCAT02,Powered On,2,4096,Other (64-bit),Normal,8.1  TB,5.15  TB,eagpvxnode01.ea.dii.state.vt.us,psreccat02.erp.state.vt.us,
ANR-SATURN,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,5.08  TB,5.04  TB,eagpvxnode05.ea.dii.state.vt.us,SATURN.vtanr.state.vt.us,
ENT-EXCH,Powered On,4,8192,Microsoft Windows Server 2012 (64-bit),Normal,4.76  TB,4.53  TB,eagpvxnode12.ea.dii.state.vt.us,ENT-EXCH.vsms.state.vt.us,
EDU-FS2,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,2.16  TB,2.16  TB,eagpvxnode05.ea.dii.state.vt.us,302-fs.edu.doe.state.vt.us,
EDU-FS1,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.93  TB,1.93  TB,eagpvxnode11.ea.dii.state.vt.us,Doefiles.edu.doe.state.vt.us,
ERP-DBFMUAT2RAC02,Powered On,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.92  TB,eagpvxnode15.ea.dii.state.vt.us,dbfmuat2rac02.erp.state.vt.us,
ERP-DBFMUAT2RAC01,Powered On,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.92  TB,eagpvxnode16.ea.dii.state.vt.us,dbfmuat2rac01.erp.state.vt.us,
ERP-DBFMPRD02,Powered Off,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.79  TB,eagpvxnode13.ea.dii.state.vt.us,,
ERP-DBFMPRD01,Powered Off,4,36864,Oracle Linux 4/5/6/7 (64-bit),Normal,1.92  TB,1.79  TB,eagpvxnode03.ea.dii.state.vt.us,,
argus,Powered On,4,8192,SUSE Linux Enterprise 8/9 (32-bit),Normal,1.23  TB,1.23  TB,eagpvxnode01.ea.dii.state.vt.us,argus,
ERP-DBFMSIT01,Powered On,2,8192,Oracle Linux 4/5/6/7 (64-bit),Normal,1.06  TB,1.05  TB,eagpvxnode03.ea.dii.state.vt.us,dbfmsit01.erp.state.vt.us,
Spock,Powered On,4,12288,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.32  TB,"1,011.47  GB",eagpvxnode06.ea.dii.state.vt.us,Spock.atg.state.vt.us,
ERP-FMPLG01-new,Powered On,4,32768,Oracle Linux 4/5/6/7 (64-bit),Normal,2.57  TB,949.01  GB,eagpvxnode06.ea.dii.state.vt.us,dbfmplg01.erp.state.vt.us,
JUD-Jury-DB01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,908.29  GB,841.69  GB,eagpvxnode01.ea.dii.state.vt.us,Jury-DB01,
ANR-TestSQL,Powered On,4,16384,Microsoft Windows Server 2012 (64-bit),Normal,826.16  GB,774.12  GB,eagpvxnode05.ea.dii.state.vt.us,TestSQL.vtanr.state.vt.us,
JUD-EFILE-APP01,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.02  TB,769.83  GB,eagpvxnode13.ea.dii.state.vt.us,EFILE-APP01,
JUD-BI,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,703.18  GB,703.18  GB,eagpvxnode08.ea.dii.state.vt.us,JUD-DW-BI,
JUD-ONP-DB01,Powered On,6,32768,Microsoft Windows Server 2016 (64-bit),Normal,1.3  TB,671.89  GB,eagpvxnode13.ea.dii.state.vt.us,ONP-DB01.cms.crt.state.vt.us,
ERP-DNS05,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,834.19  GB,647.51  GB,eagpvxnode13.ea.dii.state.vt.us,ERP-DNS05.erp.state.vt.us,
Mater,Powered On,2,4096,SUSE Linux Enterprise 8/9 (32-bit),Normal,636.17  GB,614.2  GB,eagpvxnode06.ea.dii.state.vt.us,mater,
ACCD-DHCD,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,1.3  TB,612.38  GB,eagpvxnode01.ea.dii.state.vt.us,ACCD-DHCD.vsms.state.vt.us,
ENT-IEM-CORE,Powered On,8,20480,Microsoft Windows Server 2016 (64-bit),Normal,1.24  TB,609.03  GB,eagpvxnode10.ea.dii.state.vt.us,ENT-IEM-CORE.vsms.state.vt.us,
ACCD-DHCD-PFS,Powered Off,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,724.18  GB,597.93  GB,eagpvxnode12.ea.dii.state.vt.us,,
VTADS-Thyme,Powered On,2,4096,Red Hat Enterprise Linux 6 (64-bit),Normal,784.18  GB,596.02  GB,eagpvxnode08.ea.dii.state.vt.us,thyme.crt.state.vt.us,
ENT-LDMS-Core,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,568.19  GB,567.57  GB,eagpvxnode02.ea.dii.state.vt.us,ENT-LDMS-Core.vsms.state.vt.us,
EDU-DKR-01,Powered On,1,524196,Other Linux (64-bit),Normal,562.07  GB,562.07  GB,eagpvxnode10.ea.dii.state.vt.us,edu-dkr-01.localdomain,
JUD-DW-Dev,Powered On,2,4096,Microsoft Windows Server 2008 (32-bit),Normal,1.03  TB,463.92  GB,eagpvxnode10.ea.dii.state.vt.us,JUD-DW-Dev,
ENT-SP-SQL,Powered On,2,7168,Microsoft Windows Server 2012 (64-bit),Normal,874.62  GB,443.31  GB,eagpvxnode10.ea.dii.state.vt.us,ENT-SP-SQL.vsms.state.vt.us,
ENT-IEM-SQL,Powered On,8,32768,Microsoft Windows Server 2016 (64-bit),Normal,482.19  GB,434.23  GB,eagpvxnode16.ea.dii.state.vt.us,ENT-IEM-SQL.vsms.state.vt.us,
VDOL-IUS-DEV-DB,Powered On,4,18432,Microsoft Windows Server 2016 (64-bit),Normal,1.06  TB,417.43  GB,eagpvxnode08.ea.dii.state.vt.us,VDOL-IUS-DEV-DB.labor1.labor.state.vt.us,
JUD-DW-Prod,Powered On,2,4096,Microsoft Windows Server 2008 (32-bit),Normal,1.03  TB,401.51  GB,eagpvxnode11.ea.dii.state.vt.us,JUD-DW-Prod,
AGR-DBProd2012,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,369.18  GB,366.81  GB,eagpvxnode04.ea.dii.state.vt.us,AGR-DBProd2012.vsms.state.vt.us,
ANR-testweb,Powered On,1,8192,Microsoft Windows Server 2012 (64-bit),Normal,388.16  GB,351.57  GB,eagpvxnode10.ea.dii.state.vt.us,testweb.vtanr.state.vt.us,
PSBD-ProdSQL1,Powered On,8,32768,Microsoft Windows Server 2008 R2 (64-bit),Normal,362.19  GB,321.19  GB,eagpvxnode15.ea.dii.state.vt.us,PSBD-PRODSQL1.vsms.state.vt.us,
VTADS-Slothrup,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Normal,446.18  GB,315.02  GB,eagpvxnode07.ea.dii.state.vt.us,slothrup.crt.state.vt.us,
E911-DC1,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,404.18  GB,297.09  GB,eagpvxnode03.ea.dii.state.vt.us,E911-BRDSRVNL.e911brd.state.vt.us,
VTADS-Rosemary,Powered On,2,6144,Red Hat Enterprise Linux 6 (64-bit),Alert,326.18  GB,288.43  GB,eagpvxnode04.ea.dii.state.vt.us,rosemary.crt.state.vt.us,
